index_name,alpha,similarity_top_k,cross_encoder_model,llm_model_name,rerank_top_n,llm_provider,prompt_template,faithfulness,factual_correctness(mode=f1),llm_context_precision_with_reference,context_recall,avg_latency_sec,latency_95th_sec,#Experiment,factual_correctness(mode=precision),factual_correctness(mode=recall),fact_prompt,answer_prompt,two_stage,use_query_expansion,query_expansion_num,base_k,expansion_k
Normal_splitter_hf,0.8,3.0,,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.9069642857142856,0.4979999999999999,0.7499999999625,0.524,4.247723793983459,7.538257837295532,,,,,,,,,,
Normal_splitter_hf,0.8,3.0,cross-encoder/ms-marco-MiniLM-L-2-v2,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.955,0.44,0.79166666662375,0.5017136936075243,3.6270020723342897,5.994556188583374,,,,,,,,,,
Normal_splitter_hf,0.8,5.0,,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.96875,0.5149999999999999,0.6816666666445832,0.9049122807017544,4.076309299468994,6.063254833221436,,,,,,,,,,
Normal_splitter_hf,0.8,5.0,cross-encoder/ms-marco-MiniLM-L-2-v2,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.8866666666666667,0.4519999999999999,0.61666666664,0.4312632409285554,4.059992122650146,6.832756042480469,,,,,,,,,,
Normal_splitter_hf,0.8,10.0,,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.9928571428571428,0.5239999999999999,0.7375456349087273,0.8323509823509824,3.772026324272156,7.620351791381836,,,,,,,,,,
Normal_splitter_hf,0.8,10.0,cross-encoder/ms-marco-MiniLM-L-2-v2,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.9857142857142858,0.414,0.7666666666274999,0.5276315789473685,4.0088538646698,6.950099229812622,,,,,,,,,,
Normal_splitter_hf,0.8,15.0,,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.99375,0.584,0.7010875374536665,0.8395652681303181,6.535585021972656,7.655786037445068,,,,,,,,,,
Normal_splitter_hf,0.8,15.0,cross-encoder/ms-marco-MiniLM-L-2-v2,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.8864285714285716,0.359,0.7999999999616667,0.5458670186437882,3.792724776268005,5.802758932113648,,,,,,,,,,
Normal_splitter_hf,1.0,3.0,,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.9297619047619048,0.422,0.7749999999629166,0.5006666666666667,3.6254522085189818,6.741434097290039,,,,,,,,,,
Normal_splitter_hf,1.0,3.0,cross-encoder/ms-marco-MiniLM-L-2-v2,gpt-4o-mini,3,openai,"metadata={'prompt_type': <PromptType.CUSTOM: 'custom'>} template_vars=['query_str', 'context_str'] kwargs={} output_parser=None template_var_mappings=None function_mappings=None template='You are a helpful assistant that answers Japan visa questions.\n\nQuestion: {query_str}\n\nHere are the retrieved documents:\n{context_str}\n\nAnswer clearly and concisely.'",0.9761904761904764,0.4429999999999999,0.79166666662375,0.5003359385712327,4.690635395050049,7.615697860717773,,,,,,,,,,
